DE,bit_pos,SHCOARSE,ABSENT,DE TIME,EGY,MODE,TOF0,TOF1,TOF2,TOF3,CKSM,POS
196,9402,460400745,0,4074,4,1,172,65535,122,72,8,255
197,9451,460400745,0,2765,4,1,176,65535,100,78,10,255
198,9505,460400745,0,3277,4,0,894,490,502,68,255,255
199,9554,460400745,0,3605,4,1,162,65535,98,70,6,255
200,9603,460400745,0,3426,4,1,164,65535,102,70,8,255
201,9652,460400745,0,3596,4,1,168,65535,108,66,8,255
202,9701,460400745,0,3795,4,1,164,65535,102,70,6,255
203,9750,460400745,0,3906,4,1,166,65535,100,72,8,255
204,9799,460400745,0,3998,4,1,152,65535,82,42,12,255
205,9853,460400745,0,3813,4,0,1936,428,582,64,255,255
206,9907,460400745,0,386,4,0,992,554,510,44,255,255
207,9961,460400745,0,3746,4,0,1168,776,484,62,255,255
208,10015,460400745,0,4088,4,0,952,516,504,40,255,255
209,10064,460400745,0,3966,4,1,170,65535,106,72,4,255
210,10118,460400745,0,4022,4,0,804,472,428,70,255,255
211,10147,460400745,13,3769,4,0,65535,65535,102,65535,255,255
212,10201,460400745,0,3987,4,0,798,328,534,40,255,255
213,10230,460400745,13,3913,4,0,65535,65535,422,65535,255,255
214,10279,460400745,0,3535,4,1,162,65535,102,70,8,255
215,10328,460400745,0,3418,4,1,166,65535,104,68,8,255
216,10382,460400745,0,3591,4,0,838,502,430,66,255,255
217,10414,460400745,6,4081,4,1,174,65535,65535,65535,255,0
218,10463,460400745,0,3559,4,1,166,65535,98,72,8,255
219,10492,460400745,13,3385,4,0,65535,65535,420,65535,255,255
220,10541,460400745,0,3945,4,1,174,65535,98,46,10,255
221,10590,460400745,0,3423,4,1,176,65535,98,44,10,255
222,10619,460400745,13,3853,4,0,65535,65535,0,65535,255,255
223,10673,460400745,0,3395,4,0,926,536,488,68,255,255
224,10705,460400745,6,4008,4,1,188,65535,65535,65535,255,1
225,10754,460400745,0,39,4,1,160,65535,104,68,6,255
226,10785,460400745,10,2863,4,1,65535,38,65535,65535,255,0
227,10816,460400745,10,3605,4,1,65535,26,65535,65535,255,3
228,10865,460400745,0,3407,4,1,164,65535,112,68,8,255
229,10897,460400745,6,4002,5,1,10,65535,65535,65535,255,2
230,10929,460400745,6,3867,5,1,12,65535,65535,65535,255,2
231,10961,460400745,6,3834,5,1,2,65535,65535,65535,255,2
232,10993,460400745,6,3006,5,1,210,65535,65535,65535,255,2
233,11024,460400745,10,205,5,1,65535,32,65535,65535,255,3
234,11056,460400745,6,3648,5,1,8,65535,65535,65535,255,2
235,11088,460400745,6,3021,5,1,26,65535,65535,65535,255,2
236,11120,460400745,6,2984,5,1,34,65535,65535,65535,255,3
237,11149,460400745,13,2755,5,0,65535,65535,96,65535,255,255
238,11203,460400745,0,2909,5,0,1158,718,538,68,255,255
